"국가별(1)","산업별(1)",2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
"국가별(1)","산업별(1)",수출액 (달러),수출액 (달러),수출액 (달러),수출액 (달러),수출액 (달러),수출액 (달러),수출액 (달러),수출액 (달러),수출액 (달러),수출액 (달러),수출액 (달러),수출액 (달러),수출액 (달러),수출액 (달러),수출액 (달러),수출액 (달러),수출액 (달러),수출액 (달러),수출액 (달러),수출액 (달러),수출액 (달러)
"미국","전산업",41342584357,43183502283,45766102540,46376610068,37649853348,49816057960,56207702852,58524558473,62052487820,70284871921,69832102670,66462311890,68609727630,72719932179,73343897781,74115819391,95901955739,109765705370,115696333833,127761370651,40934067992
"미국","농림어업",36653599,34183920,44627377,44044565,53191525,56734965,54172197,62815774,68811211,71175752,72028805,76495643,79193436,85621655,96027221,97272170,98560412,100080249,106960401,104693953,22553723
"미국","광업",5153737,5473420,6156704,6653252,4344332,10269221,15495829,13120564,8402479,7827121,11598561,13474409,14809106,13884809,13608684,11761247,20170010,15490025,19671321,24124113,5001381
"미국","제조업",41267454710,43107283832,45682539767,46296513551,37574920302,49726811534,56112372878,58424998842,61956949547,70177544431,69725271470,66356247141,68495525847,72594028226,73209010159,73990546638,95764898609,109619074020,115527609717,127579340949,40888886711
"미국","전기가스증기수도",-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-
"미국","폐수처리 및 자원재활용",33322311,36561111,32778692,29398700,17397189,22242240,25661948,23623293,18324583,28324617,23203834,16094697,20199241,26397489,25251717,16239336,18326708,31061076,42092394,53211636,17626177
"바레인","전산업",118356869,125230826,202204612,498118910,282629636,274146037,230583774,328963371,233976764,275226031,186802271,179724684,289756300,193411721,288148209,381659839,185230629,149157606,153834233,195584476,38469695
"바레인","농림어업",5152,12556,12078,12455,17843,28139,22460,37749,22458,31852,37468,24556,21175,24506,42002,7996,12957,6178,19301,12239,5998
"바레인","광업",-,55,13860,36935,5442,48498,37459,18132,12634,3600,2615,7908,2950,30456,514,2269,6068,3539,5750,11981,6050
"바레인","제조업",118351717,125218215,202178674,498069520,282606351,274069400,230515840,328905054,233941672,275190579,186753106,179692219,289732175,193356759,288105693,381649574,185211604,149147889,153809182,195560256,38457647
"바레인","폐수처리 및 자원재활용",0,0,0,0,0,0,8015,2436,0,0,9082,1,0,0,0,0,0,0,0,0,0
"방글라데시","전산업",611136788,648315797,611524183,1095016437,1063847754,1554316990,1627620216,1458891449,1427204459,1235935248,1208794777,1158421309,1276319340,1238299391,1282342070,1033330956,1635853638,2356959096,1625988290,1300586819,556868469
"방글라데시","농림어업",259128,128360,264933,198728,176909,368249,296528,1228016,433092,542570,321102,294632,421716,652462,741155,1169981,1113909,1190843,893866,1007719,276970
"방글라데시","광업",101212,165128,127793,251977,373973,438869,353568,295602,424511,561296,608012,681294,704320,722463,721091,1058899,449636,931589,1227092,693676,322860
"방글라데시","제조업",610672784,646995524,611090007,1094438523,1063278871,1553484653,1626543430,1457304534,1426174732,1234636900,1207804404,1146041484,1272672791,1236048401,1280828278,1031073533,1633367643,2354714801,1622400753,1296430681,554378564
"방글라데시","폐수처리 및 자원재활용",103664,1026785,41450,127209,18001,25219,426690,63297,172124,194482,61259,11403899,2520513,876065,51546,28543,922450,121863,1466579,2454743,1890075
"베네수엘라","전산업",570523142,995908793,1232505731,728387169,353387268,643536841,614682711,522944619,442904913,235883894,449475790,324022760,51117738,20567858,22184187,19217537,31143005,41227353,36198476,42385170,12525537
"베네수엘라","농림어업",159,0,-,0,0,2200,1400,-,0,0,0,10,0,0,0,0,0,0,0,0,0
"베네수엘라","광업",-,-,-,-,0,-,0,0,0,0,0,0,0,-,0,-,0,0,0,-,0
"베네수엘라","제조업",570522983,995908793,1232505731,728372878,353357373,643507927,614644923,522904300,442904913,235883894,449474884,324022647,51117738,20567858,22184187,19217390,31143005,41227353,36198476,42385170,12525537
"베네수엘라","폐수처리 및 자원재활용",0,0,0,14291,29895,26714,36388,40319,0,0,906,103,0,0,0,147,0,0,0,0,0
