"시점",전국,전국
"시점",제조업,제조업
"시점",생산자제품 출하지수(계절조정),생산자제품 재고지수(계절조정)
"2023.09",104.5,118.6
"2023.10",101.5,117.0
"2023.11",102.9,116.0
"2023.12",104.9,112.4
"2024.01",99.3,111.5
"2024.02",100.9,111.7
"2024.03",99.7,110.0
"2024.04",102.1,110.7
"2024.05",101.2,111.2
"2024.06",102.6,109.5
"2024.07",97.1,109.8
"2024.08",101.8,111.3
"2024.09",102.8,109.6
"2024.10",100.5,111.6
"2024.11",98.4,111.8
"2024.12",105.3,109.0
"2025.01",98.2,108.5
"2025.02",99.9,106.6
"2025.03",100.9,104.1
"2025.04",101.8,104.0
"2025.05 p)",99.8,104.0
"2025.06 p)",101.6,104.2
